id,kategori,namn,gatuadress,postnummer,stad,koordinat_east,koordinat_north
9922,förskola,Möjbro – Ängbybarnens förskolor,Möjbrovägen 8,16854,Bromma,145730,6581049
10303,förskola,Norlandia förskolor Måsen,Blommensbergsvägen 163 och 180,12652,Hägersten,149621,6576741
10600,förskola,Norlandia förskolor Sagohjälten,Annedalsvägen 39,16865,Bromma,147163,6583297
10529,förskola,Norlandia förskolor Sagoträdet,Tappvägen 8 D,16875,Bromma,147198,6582995
6844,förskola,Orkestern,Responsgatan 1,12629,Hägersten,150161,6575810
6847,förskola,Paletten Huvudfabriksgatan 18–20,Huvudfabriksgatan 18–20,12626,Hägersten,149472,6576076
8802,förskola,Prästängen,Prästgårdsgränd 16,12544,Älvsjö,150609,6574001
10082,förskola,Pysslingen Färjan,Färjestadsvägen 5,16851,Bromma,144686,6580737
10263,förskola,Pysslingen Förskolor Isälven,Kamrerarvägen 19,12930,Hägersten,149201,6575449
10085,förskola,Pysslingen Kastanjelunden,Lummelundagatan 3,16863,Bromma,144308,6582406
9621,förskola,Pysslingen Mälarhöjdsparken,Emilia Fogelklous gata 10,12957,Hägersten,147266,6574438
9614,förskola,Pysslingen Sagoträdet,Långbrovägen 55,12533,Älvsjö,149476,6573972
9319,förskola,Pysslingen Smältrullen,Borrvägen 5,12638,Hägersten,149880,6575438
9304,förskola,Pysslingen Typografen,Gösta Ekmans Väg 7,12935,Hägersten,148917,6576492
9618,förskola,Pysslingen Örtagården,Örtagårdsvägen 1–2,12534,Älvsjö,149720,6573866
10171,förskola,Raoul Wallenbergförskolan Mariehäll,Bällstavägen 8,16865,Bromma,147714,6582798
9507,förskola,Raoul Wallenbergs Förskola,Beckombergavägen 314,16861,Bromma,144527,6582374
9893,förskola,Regnbågen Slättgårdsvägen 72,Slättgårdsvägen 72,12942,Hägersten,147220,6575171
7423,förskola,Rödkulla,Långängsvägen 56,12556,Älvsjö,148295,6573215
7051,förskola,Rönneberga,Vattenledningsvägen 24 A och B,12633,Hägersten,150612,6576477
10501,förskola,Sagoberget,Kilsbergsvägen 9,16736,Bromma,148807,6580401
8681,förskola,Sjöberget,Torsten Alms gata 86,12651,Hägersten,149195,6577107
6969,förskola,Sjöstjärnan Rävsnäsvägen 77–79,Rävsnäsvägen 77–79,12570,Älvsjö,151632,6573879
10611,förskola,Skatboet,Valutavägen 90,12934,Hägersten,148804,6575636
10300,förskola,Skattkistan Sandalettgatan 9,Sandalettgatan 9,12547,Älvsjö,150423,6574081
6798,förskola,Smeden,Klensmedsvägen 10,12638,Hägersten,149810,6575583
10684,förskola,Snabelskon,Sulvägen 62,12640,Hägersten,150574,6574353
8798,förskola,Snöbollen,Snöbollsgränd 3,12945,Hägersten,147807,6575133
8765,förskola,Snöripan,Snöripsvägen 34,12556,Älvsjö,148792,6573074
10062,förskola,Solgårdens Waldorfförskola,Marklandsbacken 11,16836,Bromma,146514,6579963
10293,förskola,Solkatten,Midsommarvägen 20,12635,Hägersten,150594,6576195
6815,förskola,Solkatten Medaljonggatan 10–14,Medaljonggatan 10–14,12641,Hägersten,149853,6574196
6763,förskola,Solstrålen Hägerstensvägen 179,Hägerstensvägen 179,12653,Hägersten,149426,6576627
8805,förskola,Solängen,Solberga Ängsväg 4–6,12544,Älvsjö,150773,6574002
9896,förskola,SPIRA Förskolor Bromma,Tunnlandsvägen 91 A,16836,Bromma,146293,6580104
7054,förskola,Svandammsgården,Cedergrensvägen 5–7,12636,Hägersten,150157,6576435
8541,förskola,Svanens förskola vid Telefonplan,Flygelgatan 1,12628,Hägersten,150096,6575869
7112,förskola,Sylvester,Sylvestergatan 2–6,12571,Älvsjö,151709,6574450
10210,förskola,Tellusbarn Pusslet,Mockasinvägen 24,12639,Hägersten,150893,6574254
8616,förskola,Toppen,Persmässgränd 16,12944,Hägersten,147534,6575597
9344,förskola,Torngårdens Waldorfförskola,Drachmannsgatan 3,16849,Bromma,143647,6581174
9483,förskola,"Treklövern, Stamgatan 2 A",Stamgatan 2 A,12574,Älvsjö,152359,6574305
6661,förskola,Trollsländan,Sulvägen 22,12640,Hägersten,150271,6574576
10288,förskola,Tryggis,Doktor Abrahams väg 29,16859,Bromma,145480,6582327
8772,förskola,Vasan,Vasaloppsvägen 110,12945,Hägersten,147806,6575220
8457,förskola,"Vi som växer, Förskolan Vansö",Vansövägen 4,12540,Älvsjö,151944,6573103
8688,förskola,Viveln,Vivelvägen 40,12533,Älvsjö,149457,6573599
8695,förskola,Vågavilja,Gårdstigen 1,12552,Älvsjö,148662,6572317
9240,förskola,Ålstens Montessoriförskola,Bågvägen 42,16765,Bromma,147272,6578185
8628,förskola,Åsen,Sedelvägen 2B,12932,Hägersten,149162,6575777
10557,förskola,Älvens Förskola,Älvsjö gårdsväg 3–9,12542,Älvsjö,150554,6573532
9639,förskola,Älvsjö förskola,Långbrodalsvägen 1,12532,Älvsjö,150109,6573809
7834,förskola,Älvsjöbarnen,Murgrönsvägen 17,12555,Älvsjö,148168,6573488
6792,förskola,Älvskogen,Långsjövägen 33,12530,Älvsjö,149677,6573107
9546,förskola,Ängbygården – Ängbybarnens förskolor,Vultejusvägen 63–67,16866,Bromma,144794,6580868
7121,förskola,Äppelängen,Täckhammarsvägen 21,12571,Älvsjö,152014,6574069
