Namn,Typ,Kategori,Gata,Nr,Lat,Lon,Stadsdel,stadsdelsomrade
ICA Kvantum Liljeholmen,supermarket,Matbutik,Liljeholmstorget,,59.3094423,18.0222688,Liljeholmen,Hägersten-Älvsjö
Willys,supermarket,Matbutik,Nybohovsbacken,,59.3093766,18.0211932,Liljeholmen,Hägersten-Älvsjö
Brisket & friends,fast_food,Restaurang & Snabbmat,Upplagsvägen,,59.2994274,18.0216412,Västberga,Hägersten-Älvsjö
Morningstar Cafe,restaurant,Restaurang & Snabbmat,Drivhjulsvägen,,59.2967508,18.019543,Västberga,Hägersten-Älvsjö
Coop Midsommarkransen,supermarket,Matbutik,Svandammsvägen,20,59.301647,18.0124794,Midsommarkransen,Hägersten-Älvsjö
Svenska Sushiköket,restaurant,Restaurang & Snabbmat,Tellusborgsvägen,76,59.3003552,18.0040262,Midsommarkransen,Hägersten-Älvsjö
Pizzeria Fellini,fast_food,Restaurang & Snabbmat,Midsommarvägen,,59.300644,18.0121602,Midsommarkransen,Hägersten-Älvsjö
Kransens Wok,fast_food,Restaurang & Snabbmat,Tegelbruksvägen,,59.3031402,18.0127352,Midsommarkransen,Hägersten-Älvsjö
Tellus Pizza,fast_food,Restaurang & Snabbmat,Vattenledningsvägen,,59.3020127,18.0082047,Midsommarkransen,Hägersten-Älvsjö
Nygammalt,restaurant,Restaurang & Snabbmat,Vattenledningsvägen,,59.2998782,18.0046563,Midsommarkransen,Hägersten-Älvsjö
Pino,fast_food,Restaurang & Snabbmat,Nioörtsvägen,,59.301504,18.0160105,Midsommarkransen,Hägersten-Älvsjö
The Swan,restaurant,Restaurang & Snabbmat,Erikslundsgatan,,59.3006861,18.014473,Midsommarkransen,Hägersten-Älvsjö
Restaurang Udden,restaurant,Restaurang & Snabbmat,Schlytersvägen,,59.3064868,18.006486,Aspudden,Hägersten-Älvsjö
Älvsjö bibliotek,library,Bibliotek,Älvsjö Stationsgata,,59.2781677,18.0078331,Älvsjö,Hägersten-Älvsjö
Lekplats,playground,Lekplats,Sedelvägen,,59.296161,17.9808213,Hägerstensåsen,Hägersten-Älvsjö
Chicha 08,restaurant,Restaurang & Snabbmat,Ingenjörsvägen,,59.3064952,18.0256387,Liljeholmen,Hägersten-Älvsjö
Pepe Nero,restaurant,Restaurang & Snabbmat,Sjöviksvägen,,59.3060136,18.032393,Liljeholmen,Hägersten-Älvsjö
Telefonplans bibliotek,library,Bibliotek,Telefonplan,,59.2989246,17.9966603,Midsommarkransen,Hägersten-Älvsjö
OKQ8,fuel,Bensinmack,Elisabeth Tamms Gata,1,59.2849919,17.954975,Fruängen,Hägersten-Älvsjö
Roots & Soil,restaurant,Restaurang & Snabbmat,Årstaängsvägen,,59.3097676,18.028177,Liljeholmen,Hägersten-Älvsjö
Lekplats,playground,Lekplats,Hövdingagatan,,59.3063786,17.9972313,Aspudden,Hägersten-Älvsjö
Lekplats,playground,Lekplats,Torsten Almsstigen,,59.307586,17.9948105,Aspudden,Hägersten-Älvsjö
Lisebergs Café & Matsal,restaurant,Restaurang & Snabbmat,Annebodavägen,23-25,59.2871214,18.0266966,Älvsjö,Hägersten-Älvsjö
Lekplats,playground,Lekplats,Torsten Alms Gata,,59.3094183,17.9942857,Aspudden,Hägersten-Älvsjö
Lekplats,playground,Lekplats,Långbrodalsvägen,,59.2717013,17.9846451,Långsjö,Hägersten-Älvsjö
Lekplats,playground,Lekplats,Långbrodalsvägen,,59.2721591,17.985962,Långsjö,Hägersten-Älvsjö
Hinode Sushi,fast_food,Restaurang & Snabbmat,Götalandsvägen,253,59.2793638,18.004151,Älvsjö,Hägersten-Älvsjö
Bapuji,restaurant,Restaurang & Snabbmat,Älvsjövägen,2,59.2783471,18.0063075,Liseberg,Hägersten-Älvsjö
Lekplats,playground,Lekplats,Slalomvägen,,59.2918792,17.9751361,Västertorp,Hägersten-Älvsjö
Älvgården Kök & Bar,restaurant,Restaurang & Snabbmat,Älvsjövägen,7,59.2780961,18.0061133,Liseberg,Hägersten-Älvsjö
Vår Pizza,restaurant,Restaurang & Snabbmat,Johan Skyttes Väg,218,59.277762,18.0018118,Liseberg,Hägersten-Älvsjö
Cafe Gården,cafe,Kafé,Sedelvägen,20,59.2961996,17.9830405,Hägerstensåsen,Hägersten-Älvsjö
Aspuddens apotek,pharmacy,Apotek,Erik Segersälls Väg,,59.3061293,18.000954,Aspudden,Hägersten-Älvsjö
Bombay Taj,restaurant,Restaurang & Snabbmat,Hägerstensvägen,,59.3055028,18.0031363,Aspudden,Hägersten-Älvsjö
Mums,fast_food,Restaurang & Snabbmat,Hägerstensvägen,,59.305703,18.001019,Aspudden,Hägersten-Älvsjö
EPA,fast_food,Restaurang & Snabbmat,Hägerstensvägen,,59.3054736,18.0018403,Aspudden,Hägersten-Älvsjö
Aspuddens bibliotek,library,Bibliotek,Hägerstensvägen,,59.3054669,18.0015478,Aspudden,Hägersten-Älvsjö
Gröndals Apotek,pharmacy,Apotek,Gröndalsvägen,,59.316151,18.0123077,Gröndal,Hägersten-Älvsjö
Lekplats,playground,Lekplats,Metronomgatan,,59.297741,18.000378,Västberga,Hägersten-Älvsjö
Lekplats,playground,Lekplats,Metronomgatan,,59.2978478,18.0005014,Västberga,Hägersten-Älvsjö
Café Hitom,cafe,Kafé,Klaviaturgatan,11,59.2979163,18.0001688,Västberga,Hägersten-Älvsjö
Café Momo,cafe,Kafé,Liljeholmstorget,,59.3098599,18.0217484,Liljeholmen,Hägersten-Älvsjö
Delfin,restaurant,Restaurang & Snabbmat,Gröndalsvägen,,59.3151188,18.0149853,Gröndal,Hägersten-Älvsjö
DIN-DIN Club,restaurant,Restaurang & Snabbmat,Sjövikstorget,,59.3081563,18.0291693,Liljeholmen,Hägersten-Älvsjö
German Beer Hall Liljeholmen,restaurant,Restaurang & Snabbmat,Buteljgatan,,59.3083331,18.0296139,Liljeholmen,Hägersten-Älvsjö
Älvsjö Pizzeria,restaurant,Restaurang & Snabbmat,Älvsjövägen,90,59.2849116,17.9931883,Älvsjö,Hägersten-Älvsjö
Memozin Kolgrill,restaurant,Restaurang & Snabbmat,Älvsjövägen,90,59.2848081,17.9933848,Älvsjö,Hägersten-Älvsjö
Långbro Pizzeria,fast_food,Restaurang & Snabbmat,Svartlösavägen,79,59.2809246,17.9860678,Älvsjö,Hägersten-Älvsjö
SATS Älvsjö,fitness_centre,Gym/Utomhusgym,Götalandsvägen,,59.2810159,18.0142423,Älvsjö,Hägersten-Älvsjö
Klockhusköket,restaurant,Restaurang & Snabbmat,Glasfibergatan,6,59.2808036,18.0013698,Älvsjö,Hägersten-Älvsjö
Stoff,cafe,Kafé,Klubbevägen,,59.273582,17.9954645,Långsjö,Hägersten-Älvsjö
