Namn,Typ,Kategori,Gata,Nr,Lat,Lon
Bastard Burgers,restaurant,Restaurang & Snabbmat,Liljeholmstorget,5,59.309643,18.0224993
Slow Hands,cafe,Kafé,Sedelvägen,35,59.2952723,17.9796325
Thailaan,supermarket,Matbutik,N/A,,59.3093456,18.0214941
Veloce Pizza,restaurant,Restaurang & Snabbmat,Kabelverksgatan,25,59.2820466,18.002632
Sushi Yama,restaurant,Restaurang & Snabbmat,N/A,,59.3095845,18.0218108
Bio Aspen,cinema,Biograf,Hägerstensvägen,100A,59.3060441,18.0066425
TOVE,restaurant,Restaurang & Snabbmat,N/A,,59.3049772,18.030666
STC,fitness_centre,Gym/Utomhusgym,N/A,,59.2938492,18.0041601
Coop Svandammsplan,supermarket,Matbutik,N/A,,59.3010865,18.0032136
STC,fitness_centre,Gym/Utomhusgym,N/A,,59.3052207,17.9890893
Studio Mimundo,tattoo,,Kabelverksgatan,48,59.2826737,18.0007297
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,N/A,,59.2881437,17.9585985
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,N/A,,59.282748,17.9632351
Apotek Hjärtat,pharmacy,Apotek,Fruängsgången,5,59.2855373,17.9641768
Circle K,fuel,Bensinmack,Varuvägen,2,59.2718312,18.0095316
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,N/A,,59.2979322,17.9864008
Älvsjö Centrum Vårdcentral,doctor,Vårdcentral,N/A,,59.2780408,18.0085476
Midoris,restaurant,Restaurang & Snabbmat,N/A,,59.3058102,18.0367235
Thai Wok Orkidé,restaurant,Restaurang & Snabbmat,Bäckvägen,80,59.3022428,17.9935758
Gymmet,fitness_centre,Gym/Utomhusgym,N/A,,59.3084472,18.0268805
Ponte & Simone,restaurant,Restaurang & Snabbmat,N/A,,59.3060783,18.0356973
3Sixty,restaurant,Restaurang & Snabbmat,N/A,,59.3061695,18.0351583
Färgfabrikens Kafé,restaurant,Restaurang & Snabbmat,N/A,,59.3153217,18.0193396
STC,fitness_centre,Gym/Utomhusgym,N/A,,59.2778284,18.0031991
Konstfack bibliotek,library,Bibliotek,N/A,,59.2998873,17.9941863
Pizzeria Delize,fast_food,Restaurang & Snabbmat,N/A,,59.2939651,17.9768288
Piatto Fresco,restaurant,Restaurang & Snabbmat,Årsta Skolgränd,10,59.3015269,18.0297314
Lulu,restaurant,Restaurang & Snabbmat,TELLUSBORGSVÄGEN,77A,59.2979966,18.0023627
Skin Team,doctor,Vårdcentral,N/A,,59.2846062,17.9604355
My Favorit Grill,restaurant,Restaurang & Snabbmat,N/A,,59.2853426,17.95617
Fruängens Trafikskola,driving_school,Trafikskola,N/A,,59.284921,17.961645
Sushi & Poke,restaurant,Restaurang & Snabbmat,N/A,,59.2861904,17.9532279
Il Forno,restaurant,Restaurang & Snabbmat,N/A,,59.2863117,17.9507629
STC,fitness_centre,Gym/Utomhusgym,N/A,,59.2864995,17.9537332
Grill&Wok Stugan,restaurant,Restaurang & Snabbmat,N/A,,59.2717762,18.0071086
Sushi Kawa,restaurant,Restaurang & Snabbmat,Fruängstorget,6,59.2858028,17.9638267
Nordic Wellness,fitness_centre,Gym/Utomhusgym,N/A,,59.2868351,17.9640998
Fruängens Tandläkare,dentist,Tandläkare,N/A,,59.2884181,17.9629296
Fruängstandläkarna,dentist,Tandläkare,N/A,,59.2882672,17.9630587
Fruängens Familjetandvård,dentist,Tandläkare,N/A,,59.2867241,17.9635245
Babas,fast_food,Restaurang & Snabbmat,Fruängstorget,6,59.2857997,17.9639333
Fruängen Dental,dentist,Tandläkare,N/A,,59.285451,17.9637336
Home Food,restaurant,Restaurang & Snabbmat,N/A,,59.2859601,17.9652138
Folktandvården,dentist,Tandläkare,N/A,,59.2925671,17.9689012
Surdegspizza,restaurant,Restaurang & Snabbmat,N/A,,59.2937752,17.9655439
Västertorps Hjärta,restaurant,Restaurang & Snabbmat,Störtloppsvägen,30,59.2936722,17.9672747
Vår Pizza,restaurant,Restaurang & Snabbmat,N/A,,59.2924658,17.9689861
Samtal Dental,dentist,Tandläkare,Jordkabelgatan,2,59.2822406,18.0020749
Goal Vision Dream,fitness_centre,Gym/Utomhusgym,N/A,,59.282684,18.0013459
Maritza Fixar,doctor,Vårdcentral,N/A,,59.2802531,18.0130392
Älvsjö Tandvård,dentist,Tandläkare,N/A,,59.280285,18.0112353
STC,fitness_centre,Gym/Utomhusgym,N/A,,59.279558,18.0106482
The Garden,restaurant,Restaurang & Snabbmat,N/A,,59.2767476,18.0113337
Ichiban,restaurant,Restaurang & Snabbmat,N/A,,59.2940655,17.9767838
Axelsbergs Tandläkarna,dentist,Tandläkare,N/A,,59.3046899,17.9740205
