Region,Statistikområde,Upplatelseform,ContentsCode,Tid,value,stadsdelsomrade
0180R079_RegSO2025,Skärholmen,uppgift saknas,Antal,2024,0,N/A
0180R080_RegSO2025,Sköndal,hyresrätt,Antal,2024,2294,N/A
0180R080_RegSO2025,Sköndal,bostadsrätt,Antal,2024,1570,N/A
0180R080_RegSO2025,Sköndal,äganderätt,Antal,2024,1187,N/A
0180R080_RegSO2025,Sköndal,uppgift saknas,Antal,2024,0,N/A
0180R081_RegSO2025,Smedslätten,hyresrätt,Antal,2024,193,Bromma
0180R081_RegSO2025,Smedslätten,bostadsrätt,Antal,2024,285,Bromma
0180R081_RegSO2025,Smedslätten,äganderätt,Antal,2024,504,Bromma
0180R081_RegSO2025,Smedslätten,uppgift saknas,Antal,2024,0,Bromma
0180R082_RegSO2025,Solberga,hyresrätt,Antal,2024,3738,Hägersten-Älvsjö
0180R082_RegSO2025,Solberga,bostadsrätt,Antal,2024,3062,Hägersten-Älvsjö
0180R082_RegSO2025,Solberga,äganderätt,Antal,2024,330,Hägersten-Älvsjö
0180R082_RegSO2025,Solberga,uppgift saknas,Antal,2024,0,Hägersten-Älvsjö
0180R083_RegSO2025,Solhem-Lunda,hyresrätt,Antal,2024,504,N/A
0180R083_RegSO2025,Solhem-Lunda,bostadsrätt,Antal,2024,1020,N/A
0180R083_RegSO2025,Solhem-Lunda,äganderätt,Antal,2024,1976,N/A
0180R083_RegSO2025,Solhem-Lunda,uppgift saknas,Antal,2024,0,N/A
0180R084_RegSO2025,Stadshagen,hyresrätt,Antal,2024,2506,N/A
0180R084_RegSO2025,Stadshagen,bostadsrätt,Antal,2024,2768,N/A
0180R084_RegSO2025,Stadshagen,äganderätt,Antal,2024,65,N/A
0180R084_RegSO2025,Stadshagen,uppgift saknas,Antal,2024,0,N/A
0180R085_RegSO2025,Stora Essingen,hyresrätt,Antal,2024,651,N/A
0180R085_RegSO2025,Stora Essingen,bostadsrätt,Antal,2024,1495,N/A
0180R085_RegSO2025,Stora Essingen,äganderätt,Antal,2024,272,N/A
0180R085_RegSO2025,Stora Essingen,uppgift saknas,Antal,2024,0,N/A
0180R086_RegSO2025,Stora Mossen,hyresrätt,Antal,2024,89,N/A
0180R086_RegSO2025,Stora Mossen,bostadsrätt,Antal,2024,256,N/A
0180R086_RegSO2025,Stora Mossen,äganderätt,Antal,2024,311,N/A
0180R086_RegSO2025,Stora Mossen,uppgift saknas,Antal,2024,0,N/A
0180R087_RegSO2025,Storkyrkan,hyresrätt,Antal,2024,1251,N/A
0180R087_RegSO2025,Storkyrkan,bostadsrätt,Antal,2024,758,N/A
0180R087_RegSO2025,Storkyrkan,äganderätt,Antal,2024,6,N/A
0180R087_RegSO2025,Storkyrkan,uppgift saknas,Antal,2024,0,N/A
0180R088_RegSO2025,Stureby,hyresrätt,Antal,2024,1372,N/A
0180R088_RegSO2025,Stureby,bostadsrätt,Antal,2024,1675,N/A
0180R088_RegSO2025,Stureby,äganderätt,Antal,2024,978,N/A
0180R088_RegSO2025,Stureby,uppgift saknas,Antal,2024,0,N/A
0180R089_RegSO2025,Sundby,hyresrätt,Antal,2024,1603,N/A
0180R089_RegSO2025,Sundby,bostadsrätt,Antal,2024,201,N/A
0180R089_RegSO2025,Sundby,äganderätt,Antal,2024,519,N/A
0180R089_RegSO2025,Sundby,uppgift saknas,Antal,2024,1,N/A
0180R090_RegSO2025,Svedmyra,hyresrätt,Antal,2024,679,N/A
0180R090_RegSO2025,Svedmyra,bostadsrätt,Antal,2024,786,N/A
0180R090_RegSO2025,Svedmyra,äganderätt,Antal,2024,328,N/A
0180R090_RegSO2025,Svedmyra,uppgift saknas,Antal,2024,0,N/A
0180R091_RegSO2025,Sydvästra Skarpnäcks gård-Orhem,hyresrätt,Antal,2024,2,N/A
0180R091_RegSO2025,Sydvästra Skarpnäcks gård-Orhem,bostadsrätt,Antal,2024,835,N/A
0180R091_RegSO2025,Sydvästra Skarpnäcks gård-Orhem,äganderätt,Antal,2024,2,N/A
0180R091_RegSO2025,Sydvästra Skarpnäcks gård-Orhem,uppgift saknas,Antal,2024,0,N/A
0180R092_RegSO2025,Sätra,hyresrätt,Antal,2024,1997,N/A
0180R092_RegSO2025,Sätra,bostadsrätt,Antal,2024,978,N/A
0180R092_RegSO2025,Sätra,äganderätt,Antal,2024,537,N/A
0180R092_RegSO2025,Sätra,uppgift saknas,Antal,2024,0,N/A
0180R093_RegSO2025,Södra Adolf Fredrik,hyresrätt,Antal,2024,1021,N/A
0180R093_RegSO2025,Södra Adolf Fredrik,bostadsrätt,Antal,2024,1670,N/A
0180R093_RegSO2025,Södra Adolf Fredrik,äganderätt,Antal,2024,0,N/A
0180R093_RegSO2025,Södra Adolf Fredrik,uppgift saknas,Antal,2024,0,N/A
0180R094_RegSO2025,Södra Hammarbyhamnen,hyresrätt,Antal,2024,3395,N/A
0180R094_RegSO2025,Södra Hammarbyhamnen,bostadsrätt,Antal,2024,6124,N/A
0180R094_RegSO2025,Södra Hammarbyhamnen,äganderätt,Antal,2024,0,N/A
0180R094_RegSO2025,Södra Hammarbyhamnen,uppgift saknas,Antal,2024,0,N/A
0180R095_RegSO2025,Södra Högalid,hyresrätt,Antal,2024,1021,N/A
0180R095_RegSO2025,Södra Högalid,bostadsrätt,Antal,2024,1400,N/A
0180R095_RegSO2025,Södra Högalid,äganderätt,Antal,2024,0,N/A
0180R095_RegSO2025,Södra Högalid,uppgift saknas,Antal,2024,0,N/A
0180R096_RegSO2025,Södra Johannes,hyresrätt,Antal,2024,590,N/A
0180R096_RegSO2025,Södra Johannes,bostadsrätt,Antal,2024,833,N/A
0180R096_RegSO2025,Södra Johannes,äganderätt,Antal,2024,0,N/A
0180R096_RegSO2025,Södra Johannes,uppgift saknas,Antal,2024,0,N/A
0180R097_RegSO2025,Södra Sofia,hyresrätt,Antal,2024,3032,N/A
0180R097_RegSO2025,Södra Sofia,bostadsrätt,Antal,2024,4443,N/A
0180R097_RegSO2025,Södra Sofia,äganderätt,Antal,2024,0,N/A
0180R097_RegSO2025,Södra Sofia,uppgift saknas,Antal,2024,0,N/A
0180R098_RegSO2025,Södra Station,hyresrätt,Antal,2024,315,N/A
0180R098_RegSO2025,Södra Station,bostadsrätt,Antal,2024,1914,N/A
0180R098_RegSO2025,Södra Station,äganderätt,Antal,2024,0,N/A
0180R098_RegSO2025,Södra Station,uppgift saknas,Antal,2024,0,N/A
0180R099_RegSO2025,Södra Ängby,hyresrätt,Antal,2024,5,Bromma
0180R099_RegSO2025,Södra Ängby,bostadsrätt,Antal,2024,49,Bromma
0180R099_RegSO2025,Södra Ängby,äganderätt,Antal,2024,495,Bromma
0180R099_RegSO2025,Södra Ängby,uppgift saknas,Antal,2024,0,Bromma
0180R100_RegSO2025,Tallkrogen,hyresrätt,Antal,2024,1293,N/A
0180R100_RegSO2025,Tallkrogen,bostadsrätt,Antal,2024,71,N/A
0180R100_RegSO2025,Tallkrogen,äganderätt,Antal,2024,943,N/A
0180R100_RegSO2025,Tallkrogen,uppgift saknas,Antal,2024,0,N/A
0180R101_RegSO2025,Tekniska Högskolan,hyresrätt,Antal,2024,3376,N/A
0180R101_RegSO2025,Tekniska Högskolan,bostadsrätt,Antal,2024,786,N/A
0180R101_RegSO2025,Tekniska Högskolan,äganderätt,Antal,2024,0,N/A
0180R101_RegSO2025,Tekniska Högskolan,uppgift saknas,Antal,2024,0,N/A
0180R102_RegSO2025,Tensta,hyresrätt,Antal,2024,5229,N/A
0180R102_RegSO2025,Tensta,bostadsrätt,Antal,2024,1342,N/A
0180R102_RegSO2025,Tensta,äganderätt,Antal,2024,120,N/A
0180R102_RegSO2025,Tensta,uppgift saknas,Antal,2024,0,N/A
