gata,adress,stadsdel,parkeringsomrade,platstyp,taxa,ovrig_info,giltigt_fran,start_manad,slut_manad,start_dag,slut_dag,start_tid,slut_tid,veckodag,longitud,latitud,fordon,beslut,rdt_url
Sankt Mickelsgatan,Sankt Mickelsgatan 87 - 95,Hägersten,Hägersten,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid fredag 08:00-16:00 1/11 - 15/5,2024-03-13T23:00:00Z,5,10,16,31,,,,17.967342,59.300092,fordon,0180 2024-00355,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2024&LopNr=00355
Sankt Mickelsgatan,Sankt Mickelsgatan 87 - 95,Hägersten,Hägersten,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid fredag 08:00-16:00 1/11 - 15/5,2024-03-13T23:00:00Z,11,5,1,15,1600,800,fredag,17.967342,59.300092,fordon,0180 2024-00355,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2024&LopNr=00355
Sankt Mickelsgatan,Sankt Mickelsgatan 95 - 99,Hägersten,Hägersten,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid fredag 08:00-16:00 1/11 - 15/5,2024-03-13T23:00:00Z,5,10,16,31,,,,17.965354,59.299615,fordon,0180 2024-00355,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2024&LopNr=00355
Sankt Mickelsgatan,Sankt Mickelsgatan 95 - 99,Hägersten,Hägersten,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid fredag 08:00-16:00 1/11 - 15/5,2024-03-13T23:00:00Z,11,5,1,15,1600,800,fredag,17.965354,59.299615,fordon,0180 2024-00355,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2024&LopNr=00355
Sankt Mickelsgatan,Sankt Mickelsgatan 107 - 109,Hägersten,Hägersten,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid fredag 08:00-16:00 1/11 - 15/5,2024-03-13T23:00:00Z,5,10,16,31,,,,17.962207,59.298717,fordon,0180 2024-00355,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2024&LopNr=00355
Sankt Mickelsgatan,Sankt Mickelsgatan 107 - 109,Hägersten,Hägersten,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid fredag 08:00-16:00 1/11 - 15/5,2024-03-13T23:00:00Z,11,5,1,15,1600,800,fredag,17.962207,59.298717,fordon,0180 2024-00355,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2024&LopNr=00355
Inteckningsvägen,Inteckningsvägen 15,Hägerstensåsen,Hägersten,P-avgift endast besök,"taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid fredag 08:00-16:00 1/11 - 15/5,2024-10-10T22:00:00Z,5,10,16,31,,,,17.985016,59.29152,fordon,0180 2024-03049,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2024&LopNr=03049
Inteckningsvägen,Inteckningsvägen 15,Hägerstensåsen,Hägersten,P-avgift endast besök,"taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid fredag 08:00-16:00 1/11 - 15/5,2024-10-10T22:00:00Z,11,5,1,15,1600,800,fredag,17.985016,59.29152,fordon,0180 2024-03049,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2024&LopNr=03049
Sankt Mickelsgatan,Sankt Mickelsgatan 111,Hägersten,Hägersten,P-avgift endast besök,"taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid fredag 08:00-16:00 1/11 - 15/5,2024-03-13T23:00:00Z,5,10,16,31,,,,17.961035,59.298275,fordon,0180 2024-00354,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2024&LopNr=00354
Sankt Mickelsgatan,Sankt Mickelsgatan 111,Hägersten,Hägersten,P-avgift endast besök,"taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid fredag 08:00-16:00 1/11 - 15/5,2024-03-13T23:00:00Z,11,5,1,15,1600,800,fredag,17.961035,59.298275,fordon,0180 2024-00354,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2024&LopNr=00354
