gata,adress,stadsdel,parkeringsomrade,platstyp,taxa,ovrig_info,giltigt_fran,start_manad,slut_manad,start_dag,slut_dag,start_tid,slut_tid,veckodag,longitud,latitud,fordon,beslut,rdt_url
Gubbkärrsbacken,Gubbkärrsbacken 35 - 19,Nockebyhov,Bromma norra,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid tisdag 08:00-16:00 1/11 - 15/5,2018-02-18T23:00:00Z,5,10,16,31,,,,17.909371,59.331585,fordon,0180 2017-00518,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2017&LopNr=00518
Gubbkärrsbacken,Gubbkärrsbacken 35 - 19,Nockebyhov,Bromma norra,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid tisdag 08:00-16:00 1/11 - 15/5,2018-02-18T23:00:00Z,11,5,1,15,1600,800,tisdag,17.909371,59.331585,fordon,0180 2017-00518,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2017&LopNr=00518
Alstersvägen,Alstersvägen 17 - 29,Nockebyhov,Bromma norra,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid fredag 08:00-16:00 1/11 - 15/5,2018-02-19T23:00:00Z,5,10,16,31,,,,17.921914,59.334713,fordon,0180 2017-00874,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2017&LopNr=00874
Alstersvägen,Alstersvägen 17 - 29,Nockebyhov,Bromma norra,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid fredag 08:00-16:00 1/11 - 15/5,2018-02-19T23:00:00Z,11,5,1,15,1600,800,fredag,17.921914,59.334713,fordon,0180 2017-00874,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2017&LopNr=00874
Alstersvägen,Alstersvägen 2 - 8,Nockebyhov,Bromma norra,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid fredag 08:00-16:00 1/11 - 15/5,2018-02-19T23:00:00Z,5,10,16,31,,,,17.92287,59.333398,fordon,0180 2017-00874,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2017&LopNr=00874
Alstersvägen,Alstersvägen 2 - 8,Nockebyhov,Bromma norra,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid fredag 08:00-16:00 1/11 - 15/5,2018-02-19T23:00:00Z,11,5,1,15,1600,800,fredag,17.92287,59.333398,fordon,0180 2017-00874,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2017&LopNr=00874
Alstersvägen,Alstersvägen 10 - 16,Nockebyhov,Bromma norra,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid fredag 08:00-16:00 1/11 - 15/5,2018-02-19T23:00:00Z,5,10,16,31,,,,17.922052,59.333929,fordon,0180 2017-00874,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2017&LopNr=00874
Alstersvägen,Alstersvägen 10 - 16,Nockebyhov,Bromma norra,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid fredag 08:00-16:00 1/11 - 15/5,2018-02-19T23:00:00Z,11,5,1,15,1600,800,fredag,17.922052,59.333929,fordon,0180 2017-00874,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2017&LopNr=00874
Backskåran,Gubbkärrsvägen 29N - Backskåran 8,Nockebyhov,Bromma norra,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid torsdag 08:00-16:00 1/11 - 15/5,2018-02-18T23:00:00Z,5,10,16,31,,,,17.914419,59.331675,fordon,0180 2017-00844,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2017&LopNr=00844
Backskåran,Gubbkärrsvägen 29N - Backskåran 8,Nockebyhov,Bromma norra,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid torsdag 08:00-16:00 1/11 - 15/5,2018-02-18T23:00:00Z,11,5,1,15,1600,800,torsdag,17.914419,59.331675,fordon,0180 2017-00844,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2017&LopNr=00844
