id,kategori,namn,gatuadress,postnummer,stad,koordinat_east,koordinat_north,Stadsdel
28259,förskola,Förskolan Bällstaågatan 62,Bällstaågatan 62,16870,Bromma,17.9545589,59.3638101,Mariehäll
6534,förskola,Förskolan Bävervägen 43,Bävervägen 43,16830,Bromma,17.9536389,59.3340283,Abrahamsberg
9524,förskola,Förskolan Dartanjangs gata 3,Dartanjangs gata 3,16872,Bromma,17.9449557,59.3620536,Mariehäll
8284,förskola,Förskolan Djupdalsvägen 72–74,Djupdalsvägen 72–74,16772,Bromma,17.9370222,59.3303634,Olovslund
8293,förskola,Förskolan Drottningholmsvägen 510A,Drottningholmsvägen 510A,16839,Bromma,17.9265852,59.3355424,Åkeshov
8276,förskola,Förskolan Författarvägen 29–31,Författarvägen 29-31,16775,Bromma,17.9339353,59.3255683,Höglandet
8328,förskola,Förskolan Gliavägen 128,Gliavägen 128,16858,Bromma,17.9290909,59.3523384,Bromma kyrka
8323,förskola,Förskolan Gliavägen 130,Gliavägen 130 B,16858,Bromma,17.9290909,59.3523384,Bromma kyrka
7756,förskola,Förskolan Grindslanten,Förskottsvägen 20,12932,Hägersten,17.9855229,59.2982032,Hägerstensåsen
8280,förskola,Förskolan Gubbkärrsvägen 29,Gubbkärrsvägen 29,16840,Bromma,17.9142267,59.3315458,Nockebyhov
28134,förskola,Förskolan Guldklimpar Lilla Äppelbo,Runda vägen 24A,16751,Bromma,17.9802691,59.3303711,Alvik
9250,förskola,Förskolan Guldklimpar Äppelbo,Runda vägen 50,16751,Bromma,17.9784488,59.3319757,Alvik
6558,förskola,Förskolan Gustav III:s väg 36,Gustav III:s väg 36,16830,Bromma,17.9462717,59.3338755,Abrahamsberg
10543,förskola,Förskolan Hagelstavägen 24,Hagelstavägen 24,16866,Bromma,17.9479909,59.360717,Mariehäll
28556,förskola,Förskolan Höjden,Kinnaredsgränd 69,12572,Älvsjö,18.030944,59.2897487,Östberga
6379,förskola,Förskolan Johannesfredsvägen 27,Johannesfredsvägen 27,16868,Bromma,17.9731332,59.3469559,Ulvsunda industriområde
6566,förskola,Förskolan Karen Blixens gata 15,Karen Blixens gata 15,16844,Bromma,17.8733615,59.3461936,Blackeberg
10459,förskola,Förskolan Kattresan,Zornvägen 43–47,16850,Bromma,17.8929598,59.3421619,Södra Ängby
8496,förskola,Förskolan Klintbacken 11,Klintbacken 11,16866,Bromma,17.9542252,59.3599018,Mariehäll
6594,förskola,Förskolan Margretelundsvägen 73,Margretelundsvägen 73,16736,Bromma,17.9772262,59.3397511,Traneberg
6600,förskola,Förskolan Marklandsbacken 2,Marklandsbacken 2,16836,Bromma,17.9368963,59.3368174,Åkeslund
26051,förskola,Förskolan Masugnsvägen 72–74,Masugnsvägen  72–74,16877,Bromma,17.9622088,59.3571965,Ulvsunda industriområde
10547,förskola,Förskolan Metapontum,Stora Mans Väg 11D,12559,Älvsjö,17.9731195,59.2824177,Älvsjö
8297,förskola,"Förskolan Nockeby kyrkväg 8, Svanhildsvägen 23","Nockeby kyrkväg 8, Svanhildsvägen 23",16774,Bromma,145792.0,6579397.0,N/A
8289,förskola,Förskolan Nockebyvägen 20,Nockebyvägen 20,16848,Bromma,17.9414025,59.3226627,Höglandet
6606,förskola,Förskolan Nyängsvägen 21,Nyängsvägen 21,16754,Bromma,17.9687294,59.3247797,Äppelviken
29659,förskola,Förskolan Nyängsvägen 66,Nyängsvägen 66,16764,Bromma,17.9599447,59.3251433,Ålsten
6630,förskola,Förskolan Olovslundsvägen 19,Olovslundsvägen 19,16772,Bromma,17.9384342,59.3311661,Olovslund
6412,förskola,Förskolan Osmundsvägen 6,Osmundsvägen 6,16868,Bromma,17.9741872,59.3473643,Ulvsunda industriområde
6706,förskola,Förskolan Pippi Långstrumps gata 12,Pippi Långstrumps gata 12,16871,Bromma,17.9471455,59.3628488,Mariehäll
6713,förskola,Förskolan Pippi Långstrumps gata 14,Pippi Långstrumps gata 14,16871,Bromma,17.9467454,59.3632791,Mariehäll
10370,förskola,Förskolan Raketen,Björnsonsgatan 313,16847,Bromma,17.8819116,59.3495177,Blackeberg
8314,förskola,Förskolan Ringarstigen 2,Ringarstigen 2,16858,Bromma,17.9241503,59.355328,Bromma kyrka
9169,förskola,Förskolan Råbyvägen,Råbyvägen 34,12543,Älvsjö,18.0220258,59.2761013,Älvsjö
6778,förskola,Förskolan Smedslättsvägen 71,Smedslättsvägen 71,16761,Bromma,17.961015,59.3230505,Smedslätten
