namn,kategori,gata,lat,lon,stadsdel
Förskolan Stormfågeln AB,förskola,Ivar Vidfamnes Gata 20,59.3079937,17.9863286,Aspudden
Förskolan Styresman Sanders väg 16,förskola,Styresman Sanders väg 16,59.3596442,17.9041467,Eneby
Förskolan Sunnanstigen 11,förskola,Sunnanstigen 11,59.3372067,17.955714,Ulvsunda
Förskolan Svartviksslingan 47,förskola,Svartviksslingan 47,59.3398854,17.9897242,Traneberg
Förskolan Svartviksslingan 53,förskola,Svartviksslingan 53,59.3390094,17.9910381,Traneberg
Förskolan Tunnlandsvägen 30,förskola,Tunnlandsvägen 30,59.3368431,17.9392984,Bromma
Förskolan Tyska Bottens väg 49,förskola,Tyska Bottens väg 49,59.3325127,17.9056986,Nockebyhov
"Förskolan Ulvsunda Slottsväg 19, 22",förskola,Ulvsunda slottsväg 19 och 22,6580131.0,148224.0,
Förskolan Vadmalsvägen 5–7,förskola,Vadmalsvägen 5–7,59.3396561,17.9437146,Bromma
Förskolan Vingåkersvägen,förskola,Vingåkersvägen 22–26,59.2752339,18.0302443,Älvsjö
Förskolan Vinjegatan 31–33/Björnsonsgatan 132,förskola,Björnsonsgatan 132,59.3478194,17.8800464,Blackeberg
Förskolan Vultejusvägen 15 A,förskola,Vultejusvägen 15 A,59.3448874,17.9087707,Norra Ängby
Förskolan Vultejusvägen 15 D E,förskola,Vultejusvägen 15 D E,59.3489677,17.9092484,Norra Ängby
Förskolan Zornvägen 26,förskola,Zornvägen 26,59.3421619,17.8929598,Södra Ängby
Förskolan Änglan AB,förskola,Våxtorpsgränd 18,59.2881125,18.0328437,Östberga
Förskolan Äppelvikstorget,förskola,Nyängsvägen 1,59.3264122,17.9729254,Äppelviken
Förskolan Örnbacken,förskola,Örnbacken 34,59.3092546,17.9880423,Aspudden
Föräldrakooperativet Minnemalen,förskola,Svartviksslingan 13,59.3400425,17.9895629,Traneberg
Föräldrakooperativet Storken,förskola,Sunnanstigen 5,59.3375712,17.9548919,Ulvsunda
Föräldrakooperativet Trumslagaren,förskola,Trumslagargatan 10,59.2767902,17.99807,Långsjö
Föräldrakooperativet Vildkatten,förskola,Tegelbruksvägen 31,59.3019572,18.0100183,Midsommarkransen
Gläntan Lotterivägen 17,förskola,Lotterivägen 17,59.2978629,17.9808163,Hägerstensåsen
Gläntan Östbergabackarna 50,förskola,Östbergabackarna 50,59.2875969,18.0310008,Östberga
Grodan,förskola,Störtloppsvägen 36,59.2945031,17.9665397,Västertorp
Grågåsen,förskola,Erik Segersälls väg 24–30,59.3075649,17.9993105,Aspudden
Gökboet – Ängbybarnens förskolor,förskola,Dybecksvägen 84,59.3464247,17.9008879,Norra Ängby
Hasselbacken,förskola,Personnevägen 78,59.2983006,17.9751492,Hägersten
Hattis,förskola,Hattmakarbacken 11,59.296746,17.9523297,Mälarhöjden
Hattstugans Waldorfförskola,förskola,Stora Mossens backe 4,59.3345153,17.9642261,Stora mossen
Hoppetossa Tolvan,förskola,Grönviksvägen 111,59.320387,17.9372579,Ålsten
I Ur och Skur Havskatten,förskola,Missionsvägen 14,59.3408876,17.9764308,Ulvsunda
I Ur och Skur Mullelyan,förskola,Beckombergavägen 13,59.3431821,17.921362,Åkeshov
I Ur och Skur Trollsländan,förskola,Tappvägen 32,59.3645169,17.9524702,Mariehäll
I Ur och Skur Täppan,förskola,Grundtvigsgatan 47–49,59.3469133,17.8853255,Blackeberg
I Ur och Skur Vindleken,förskola,Långsjövägen 12,59.2747059,17.9977428,Långsjö
I Ur och Skur Vinterelvan,förskola,Örnbacken 4,59.3095658,17.9905404,Aspudden
I Ur och Skur Västanvind,förskola,Anundsvägen 12,59.3520842,17.8911026,Beckomberga
Instrumentet,förskola,Instrumentvägen 32,59.3055671,17.9845951,Hägersten
Jungfru Lona,förskola,Kinmanssonsvägen 47,59.3019509,17.9690178,Hägersten
Justineborgs förskola,förskola,Adolfsbergsvägen 26,59.358668,17.9556266,Mariehäll
Kastanjen Majstångsvägen 6,förskola,Majstångsvägen 6,59.3033057,18.0090156,Midsommarkransen
Kata Dalström,förskola,Kata Dalströms gata 23,59.2851332,17.9603854,Fruängen
Kobran,förskola,Mobilgatan 3B,59.2978941,17.9890975,Midsommarkransen
Korpen,förskola,Schlytersvägen 55,59.3064018,18.006897,Aspudden
Kristallen,förskola,Isgränd 6,59.2908257,17.9681302,Västertorp
Kroppås,förskola,Sankt Mickelsgatan 122,59.2983479,17.9593892,Hägersten
Lillgårdens waldorfförskola,förskola,Broderivägen 13,59.3390824,17.9294811,Åkeshov
Lillskogen,förskola,Karlslundsvägen 10,59.2687269,17.9816651,Långsjö
LM-gården,förskola,Trettondagsvägen 7–9,59.2999201,17.9980105,Midsommarkransen
Luren,förskola,Kransbindarvägen 120,59.3023329,17.9982216,Midsommarkransen
Långbropark förskola,förskola,Stora mans väg 11B,59.2824177,17.9731195,Älvsjö
Långsjö,förskola,Gårdstigen 19,59.2661284,17.9744804,Långsjö
Majamyra,förskola,Torsslowsbacken 2,59.3066089,17.9760782,Hägersten
Mariehälls Montessoriförskola,förskola,Hagelstavägen 20,59.3597655,17.9479265,Mariehäll
Matrisen,förskola,Långsjövägen 14,59.2742858,17.9968241,Långsjö
Metronomen,förskola,Radiusbacken 31,59.2981625,18.0041428,Västberga
Mineralen,förskola,Skodonsvägen 9,59.2889789,18.0067707,Solberga
Minne Mus Montessoriförskola,förskola,Svartviksslingan 88,59.3399391,17.987515,Traneberg
Montessoriförskolan Bromma Planeten,förskola,Söderberga allé 28,59.359664,17.8964789,Beckomberga
