id,kategori,namn,gatuadress,postnummer,stad,koordinat_east,koordinat_north
6695,förskola,Lillskogen,Karlslundsvägen 10,12552,Älvsjö,17.9816651,59.2687269
7081,förskola,LM-gården,Trettondagsvägen 7–9,12636,Hägersten,17.9980105,59.2999201
8684,förskola,Luren,Kransbindarvägen 120,12636,Hägersten,17.9982216,59.3023329
10718,förskola,Långbropark förskola,Stora mans väg 11B,12559,Älvsjö,17.9731195,59.2824177
8700,förskola,Långsjö,Gårdstigen 19,12552,Älvsjö,17.9744804,59.2661284
8955,förskola,Majamyra,Torsslowsbacken 2,12937,Hägersten,17.9760782,59.3066089
7327,förskola,Mariehälls Montessoriförskola,Hagelstavägen 20,16866,Bromma,17.9479265,59.3597655
6734,förskola,Matrisen,Långsjövägen 14,12530,Älvsjö,17.9968241,59.2742858
10526,förskola,Metronomen,Radiusbacken 31,12629,Hägersten,18.0041428,59.2981625
9884,förskola,Mineralen,Skodonsvägen 9,12677,Hägersten,18.0067707,59.2889789
7672,förskola,Minne Mus Montessoriförskola,Svartviksslingan 88,16739,Bromma,17.987515,59.3399391
8427,förskola,Montessoriförskolan Bromma Planeten,Söderberga allé 28,16862,Bromma,17.8964789,59.359664
10175,förskola,Montessoriförskolan Liten och Stor,Stopvägen 37,16835,Bromma,17.9460517,59.3353261
8759,förskola,Montessoriförskolan Regnbågen,Krattvägen 20,12532,Älvsjö,17.9872618,59.2850042
8769,förskola,Muminstugan,Vantörsvägen 150,12557,Älvsjö,17.9899538,59.2732489
9922,förskola,Möjbro – Ängbybarnens förskolor,Möjbrovägen 8,16854,Bromma,17.9248178,59.3445878
10303,förskola,Norlandia förskolor Måsen,Blommensbergsvägen 163 och 180,12652,Hägersten,149621.0,6576741.0
10600,förskola,Norlandia förskolor Sagohjälten,Annedalsvägen 39,16865,Bromma,17.9498785,59.3646939
10529,förskola,Norlandia förskolor Sagoträdet,Tappvägen 8 D,16875,Bromma,17.9505849,59.3631972
6844,förskola,Orkestern,Responsgatan 1,12629,Hägersten,18.0027904,59.2974806
6847,förskola,Paletten Huvudfabriksgatan 18–20,Huvudfabriksgatan 18–20,12626,Hägersten,17.9902536,59.2998468
8802,förskola,Prästängen,Prästgårdsgränd 16,12544,Älvsjö,18.0103612,59.2813446
10082,förskola,Pysslingen Färjan,Färjestadsvägen 5,16851,Bromma,17.9038639,59.3389752
10263,förskola,Pysslingen Förskolor Isälven,Kamrerarvägen 19,12930,Hägersten,17.9862666,59.2931554
