namn,kategori,gata,lat,lon,stadsdel,stadsdelsomrade
Förskolan Olovslundsvägen 19,förskola,Olovslundsvägen 19,59.3311661,17.9384342,Olovslund,Bromma
Förskolan Osmundsvägen 6,förskola,Osmundsvägen 6,59.3473643,17.9741872,Ulvsunda industriområde,Bromma
Förskolan Pippi Långstrumps gata 12,förskola,Pippi Långstrumps gata 12,59.3628488,17.9471455,Mariehäll,Bromma
Förskolan Pippi Långstrumps gata 14,förskola,Pippi Långstrumps gata 14,59.3632791,17.9467454,Mariehäll,Bromma
Förskolan Raketen,förskola,Björnsonsgatan 313,59.3495177,17.8819116,Blackeberg,Bromma
Förskolan Ringarstigen 2,förskola,Ringarstigen 2,59.355328,17.9241503,Bromma kyrka,Bromma
Förskolan Råbyvägen,förskola,Råbyvägen 34,59.2761013,18.0220258,Älvsjö,Hägersten-Älvsjö
Förskolan Smedslättsvägen 71,förskola,Smedslättsvägen 71,59.3230505,17.961015,Smedslätten,Bromma
Förskolan Stormfågeln AB,förskola,Ivar Vidfamnes Gata 20,59.3079937,17.9863286,Aspudden,Hägersten-Älvsjö
Förskolan Styresman Sanders väg 16,förskola,Styresman Sanders väg 16,59.3596442,17.9041467,Eneby,Bromma
Förskolan Sunnanstigen 11,förskola,Sunnanstigen 11,59.3372067,17.955714,Ulvsunda,Bromma
Förskolan Svartviksslingan 47,förskola,Svartviksslingan 47,59.3398854,17.9897242,Traneberg,Bromma
Förskolan Svartviksslingan 53,förskola,Svartviksslingan 53,59.3390094,17.9910381,Traneberg,Bromma
Förskolan Tunnlandsvägen 30,förskola,Tunnlandsvägen 30,59.3368431,17.9392984,Bromma,Bromma
Förskolan Tyska Bottens väg 49,förskola,Tyska Bottens väg 49,59.3325127,17.9056986,Nockebyhov,Bromma
"Förskolan Ulvsunda Slottsväg 19, 22",förskola,Ulvsunda slottsväg 19 och 22,6580131.0,148224.0,,
Förskolan Vadmalsvägen 5–7,förskola,Vadmalsvägen 5–7,59.3396561,17.9437146,Bromma,Bromma
Förskolan Vingåkersvägen,förskola,Vingåkersvägen 22–26,59.2752339,18.0302443,Älvsjö,Hägersten-Älvsjö
Förskolan Vinjegatan 31–33/Björnsonsgatan 132,förskola,Björnsonsgatan 132,59.3478194,17.8800464,Blackeberg,Bromma
Förskolan Vultejusvägen 15 A,förskola,Vultejusvägen 15 A,59.3448874,17.9087707,Norra Ängby,Bromma
Förskolan Vultejusvägen 15 D E,förskola,Vultejusvägen 15 D E,59.3489677,17.9092484,Norra Ängby,Bromma
Förskolan Zornvägen 26,förskola,Zornvägen 26,59.3421619,17.8929598,Södra Ängby,Bromma
Förskolan Änglan AB,förskola,Våxtorpsgränd 18,59.2881125,18.0328437,Östberga,
Förskolan Äppelvikstorget,förskola,Nyängsvägen 1,59.3264122,17.9729254,Äppelviken,Bromma
Förskolan Örnbacken,förskola,Örnbacken 34,59.3092546,17.9880423,Aspudden,Hägersten-Älvsjö
Föräldrakooperativet Minnemalen,förskola,Svartviksslingan 13,59.3400425,17.9895629,Traneberg,Bromma
Föräldrakooperativet Storken,förskola,Sunnanstigen 5,59.3375712,17.9548919,Ulvsunda,Bromma
Föräldrakooperativet Trumslagaren,förskola,Trumslagargatan 10,59.2767902,17.99807,Långsjö,Hägersten-Älvsjö
Föräldrakooperativet Vildkatten,förskola,Tegelbruksvägen 31,59.3019572,18.0100183,Midsommarkransen,Hägersten-Älvsjö
Gläntan Lotterivägen 17,förskola,Lotterivägen 17,59.2978629,17.9808163,Hägerstensåsen,Hägersten-Älvsjö
Gläntan Östbergabackarna 50,förskola,Östbergabackarna 50,59.2875969,18.0310008,Östberga,
Grodan,förskola,Störtloppsvägen 36,59.2945031,17.9665397,Västertorp,Hägersten-Älvsjö
Grågåsen,förskola,Erik Segersälls väg 24–30,59.3075649,17.9993105,Aspudden,Hägersten-Älvsjö
Gökboet – Ängbybarnens förskolor,förskola,Dybecksvägen 84,59.3464247,17.9008879,Norra Ängby,Bromma
Hasselbacken,förskola,Personnevägen 78,59.2983006,17.9751492,Hägersten,Hägersten-Älvsjö
Hattis,förskola,Hattmakarbacken 11,59.296746,17.9523297,Mälarhöjden,Hägersten-Älvsjö
Hattstugans Waldorfförskola,förskola,Stora Mossens backe 4,59.3345153,17.9642261,Stora mossen,Bromma
Hoppetossa Tolvan,förskola,Grönviksvägen 111,59.320387,17.9372579,Ålsten,Bromma
I Ur och Skur Havskatten,förskola,Missionsvägen 14,59.3408876,17.9764308,Ulvsunda,Bromma
I Ur och Skur Mullelyan,förskola,Beckombergavägen 13,59.3431821,17.921362,Åkeshov,Bromma
I Ur och Skur Trollsländan,förskola,Tappvägen 32,59.3645169,17.9524702,Mariehäll,Bromma
I Ur och Skur Täppan,förskola,Grundtvigsgatan 47–49,59.3469133,17.8853255,Blackeberg,Bromma
I Ur och Skur Vindleken,förskola,Långsjövägen 12,59.2747059,17.9977428,Långsjö,Hägersten-Älvsjö
I Ur och Skur Vinterelvan,förskola,Örnbacken 4,59.3095658,17.9905404,Aspudden,Hägersten-Älvsjö
I Ur och Skur Västanvind,förskola,Anundsvägen 12,59.3520842,17.8911026,Beckomberga,Bromma
