% av total boende;Antal bostadsrätter;Antal hyresrätter;Antal äganderätter;ContentsCode;Region;Stadsdel;stadsdelsomrade;Statistikområde;Tid;Upplatelseform;Upplåtelseform_Stor;value
0,363245357;;1858;;Antal;0180R025_RegSO2025;Gamla Enskede;;0180R025 Gamla Enskede;2024;hyresrätt;Hyresrätt;1858
;;;;Antal;0180R025_RegSO2025;Gamla Enskede;;0180R025 Gamla Enskede;2024;uppgift saknas;Uppgift saknas;0
0;;;0;Antal;0180R026_RegSO2025;Grimsta;;0180R026 Grimsta;2024;äganderätt;Äganderätt;0
0,281905594;645;;;Antal;0180R026_RegSO2025;Grimsta;;0180R026 Grimsta;2024;bostadsrätt;Bostadsrätt;645
0,718094406;;1643;;Antal;0180R026_RegSO2025;Grimsta;;0180R026 Grimsta;2024;hyresrätt;Hyresrätt;1643
;;;;Antal;0180R026_RegSO2025;Grimsta;;0180R026 Grimsta;2024;uppgift saknas;Uppgift saknas;0
0,001051525;;;5;Antal;0180R027_RegSO2025;Gröndal;Hägersten-Älvsjö;0180R027 Gröndal;2024;äganderätt;Äganderätt;5
0,697371188;3316;;;Antal;0180R027_RegSO2025;Gröndal;Hägersten-Älvsjö;0180R027 Gröndal;2024;bostadsrätt;Bostadsrätt;3316
0,301577287;;1434;;Antal;0180R027_RegSO2025;Gröndal;Hägersten-Älvsjö;0180R027 Gröndal;2024;hyresrätt;Hyresrätt;1434
;;;;Antal;0180R027_RegSO2025;Gröndal;Hägersten-Älvsjö;0180R027 Gröndal;2024;uppgift saknas;Uppgift saknas;0
0,06773399;;;220;Antal;0180R028_RegSO2025;Gubbängen;;0180R028 Gubbängen;2024;äganderätt;Äganderätt;220
0,43226601;1404;;;Antal;0180R028_RegSO2025;Gubbängen;;0180R028 Gubbängen;2024;bostadsrätt;Bostadsrätt;1404
0,5;;1624;;Antal;0180R028_RegSO2025;Gubbängen;;0180R028 Gubbängen;2024;hyresrätt;Hyresrätt;1624
;;;;Antal;0180R028_RegSO2025;Gubbängen;;0180R028 Gubbängen;2024;uppgift saknas;Uppgift saknas;0
0,00112638;;;10;Antal;0180R029_RegSO2025;Gustav Vasa;;0180R029 Gustav Vasa;2024;äganderätt;Äganderätt;10
0,642036495;5700;;;Antal;0180R029_RegSO2025;Gustav Vasa;;0180R029 Gustav Vasa;2024;bostadsrätt;Bostadsrätt;5700
0,356837125;;3168;;Antal;0180R029_RegSO2025;Gustav Vasa;;0180R029 Gustav Vasa;2024;hyresrätt;Hyresrätt;3168
;;;;Antal;0180R029_RegSO2025;Gustav Vasa;;0180R029 Gustav Vasa;2024;uppgift saknas;Uppgift saknas;0
0,000642178;;;10;Antal;0180R030_RegSO2025;Gärdet;;0180R030 Gärdet;2024;äganderätt;Äganderätt;10
0,598638582;9322;;;Antal;0180R030_RegSO2025;Gärdet;;0180R030 Gärdet;2024;bostadsrätt;Bostadsrätt;9322
0,40071924;;6240;;Antal;0180R030_RegSO2025;Gärdet;;0180R030 Gärdet;2024;hyresrätt;Hyresrätt;6240
;;;;Antal;0180R030_RegSO2025;Gärdet;;0180R030 Gärdet;2024;uppgift saknas;Uppgift saknas;0
0,027120202;;;118;Antal;0180R031_RegSO2025;Hagsätra;;0180R031 Hagsätra;2024;äganderätt;Äganderätt;118
0,413698;1800;;;Antal;0180R031_RegSO2025;Hagsätra;;0180R031 Hagsätra;2024;bostadsrätt;Bostadsrätt;1800
0,559181797;;2433;;Antal;0180R031_RegSO2025;Hagsätra;;0180R031 Hagsätra;2024;hyresrätt;Hyresrätt;2433
;;;;Antal;0180R031_RegSO2025;Hagsätra;;0180R031 Hagsätra;2024;uppgift saknas;Uppgift saknas;0
0,003289474;;;21;Antal;0180R032_RegSO2025;Hammarbyhöjden;;0180R032 Hammarbyhöjden;2024;äganderätt;Äganderätt;21
0,698464912;4459;;;Antal;0180R032_RegSO2025;Hammarbyhöjden;;0180R032 Hammarbyhöjden;2024;bostadsrätt;Bostadsrätt;4459
0,298245614;;1904;;Antal;0180R032_RegSO2025;Hammarbyhöjden;;0180R032 Hammarbyhöjden;2024;hyresrätt;Hyresrätt;1904
;;;;Antal;0180R032_RegSO2025;Hammarbyhöjden;;0180R032 Hammarbyhöjden;2024;uppgift saknas;Uppgift saknas;0
0,000409165;;;3;Antal;0180R033_RegSO2025;Hedvig Eleonora;;0180R033 Hedvig Eleonora;2024;äganderätt;Äganderätt;3
